3-d;"3-D"
arrange;"hyehyɛ"
arrangement;"nhyehyɛe"
array;"kɛntɛn"
arrow button;""
arrow down;""
arrow key;""
arrow left;""
arrow right;""
arrow up;""
arrow;"egyan"
arrowend;""
arrowhead;""
art;"eniwasoade"
article;"kyerɛwsɛm"
artificial intelligence / ai;"mehin nyansa"
artist;"bɔni"
artwork;"mfonidwuma"
ascending (order);"kɔ-soro"
ascending order;""
ascending;""
ascii;""
asian language support;"mboa ma Ehyia fo hɔn akasa"
asian text;"ehyiafo nkyerɛwee"
ask every time;"bisa abere biara"
ask;"bisa"
aspect ratio;"askpɛkt rehyio"
aspect;""
assembling;""
assign (value);""
assign task;""
assign;"hyɛ"
assigned;"ahyɛ"
assignment (home work);""
assignment (value);""
assignment;""
assist;"boa"
assistance;"mboa"
assistant;"boafo"
assistive technologies;""
assistive technology preferences;""
assistive;""
associate;"bɔ-kuw"
associated;"abɔ-kuw"
association;"fɛkuw"
assume;""
asterisk;"astɛrisk"
asynchronous;"sonsonee-bere"
at the end;""
at;"wɔ"
atm;""
attach a file;""
attach;"ka-ho"
attached;"aka-ho"
attachment;"fael nkaho"
attempt;"ka-hwɛ"
attempted;"aka-ahwɛ"
attempting;"reka-ahwɛ"
attendees;""
attention;"adwen"
attribute;"su"
audio device;""
audio disc;""
audio files;""
audio output;"ɔdio-ndaedi"
audio player;"ɔdio-kasanoma"
audio;"ɔdio"
august;"Difuu"
authenticate;"gye to mu"
authenticated;"agye ato mu"
authentication;"ngyentomu"
author;"kyerɛwfo"
authority;"tumi"
authorization;"akwannya"
authorize;""
authorized;"enya-kwan"
auto completion;"ho-nwiei"
auto configuration;"ho-nhyehyɛe"
auto detection;""
auto filter;""
auto fit to;""
auto-load;""
auto;"ho"
autoabstract;""
autoanswer;""
autocheck spelling;""
autocomplete;"ho-wie"
autocompletion;""
autocorrect;"||  bold_italic_  ||  italic"
autodetect;"ho-hu"
autodetection;"ho-nhu"
autofill;"ho-hyɛ"
autofilter;"ho-nyimu"
autofit;"ho-hyɛmu"
autoformat;"ho-fɔɔmat"
autoincrement;""
autoload;"ho-hyɛ-binom-ase"
automail;""
automated office;""
automatic update;"ntoso otomatik"
automatic;"otomatik"
automatically;"otomatikmu"
automation;"otomehyɛn"
autopilot;""
autorun;"ho-hyɛase"
autosave;"ho-sie"
autoscroll;""
autotext;""
availability;"nda-hɔ"
available palettes;""
available;"da-hɔ"
average;"finimfin-ba"
avoid;"twe"
aware;"nim"
axis;"akses"
back button;"baten ekyiri"
back door;""
back end;"mfikyire"
back-end;""
back;"ekyiri"
backbone;""
background application;"aplekehyɛn a ɛhyɛ ekyiri"
background color name;""
background color;"ekyiri ahosu"
background image;"ekyiri mfonin"
background set;""
background task;"ɛkyiri adwuma"
background;"ndaekyiri"
backgrounds and emblems;""
backlog;""
backslash;"ekyiri-slahye"
backspace;"ekyiri-pepa"
backup copy;"Nsiakyire"
backup;"esiei-bio"
backward;"Ekyirikyiri"
bad area;""
bad disk;"disk sɛee"
bad sector;"nkyɛwmu sɛee"
bad;"sɛe"
balance;"balans"
ban;"si kwan"
bandwidth (digital device);""
bandwidth (radio);""
bandwidth;"bandwite"
banned;"wasi kwan"
banner;"frankaa"
bar chart;""
bar code;""
bar;"baa"
barcode;"baakood"
base 10;""
base 16;""
base 2;""
base 8;""
base line;""
base;""
basic;"mfitiase"
batch file;""
batch;"baakye"
battery charge monitor;""
battery;"batre"
baud;"bood"
bcc (blind carbon copy);""
bcc / blind carbon copy;"BCC"
bcc;""
beamer;"biima"
beep;"biip"
begin of word;""
begin;"hyɛ ase"
beginning;"ahyɛase"
begins with;"ɛhyɛ ase firi"
behavior;"suban"
behind;"ekyiri"
belonging;"ɛka ho"
below;"ase"
beneath;"ase"
best fit;""
beta;"beta"
bibliography database;""
bibliography entry;""
bibliography;""
bigger;"kɛse sen"
binary number;""
binary system;""
binary;""
bind;""
binding;""
binomial distribution;""
birthday;"awoda"
bit;"bit"
bitmap;"bitmap"
black;"tuntum"
blank cd-r disc;""
blank cd-rw disc;""
blank document;"krataa hwee"
blank dvd+r disc;""
blank dvd+rw disc;""
blank dvd-ram disc;""
blank dvd-rw disc;""
blank page;"krataafa pan"
blank;"whee (nni so)"
blanking;""
blend;"ka fra"
blink;"bubu n'ani"
blinking cursor;""
blinking;"ɛrebubu n'ani"
block (unit);""
block (verb);""
block buffer;""
block;"blɔk"
blocked;"esiw"
blocking;"resiw"
blockquote;"blɔkadanse"
blog;"blɔg"
blue;"bruu"
bluetooth;"Bluutuf"
blur image;""
blur;"blɛɛ"
board;""
body;"honam"
bold;"akɛseɛ"
book excerpt;""
book mark;""
bookmark all tabs;""
bookmark this page;""
bookmark;"bukmaake"
bookmarked;"ebukmaake"
bookmarks;""
boolean;"Boolean"
boot;"dumsɔ"
border and shading;""
border color;""
border;"ntwaho"
bot;"bɔt"
bottom pane;""
bottom to top;""
bottom;"ase"
bounced;"wasae no"
bound;""
boundaries;""
boundary;"ɔhye"
box;"adaka"
brace;""
bracket;"brakɛt"
braille;""
branch;""
brand;"mmradin"
break (program);""
break point;""
break;"gyae"
breakpoint;""
bricks;""
bridge (noun);""
bridge (verb);""
brief;"tiaa"
bright;"hyerɛn"
brightness;"ahyerɛnoɔden"
bring forward;""
bring to front;"fa bra anim"
bring;"fa bra"
broadband network;""
broadband;"brɔɔdband"
broadcast;"amaneɛbɔ"
brochure;""
broken;"gyae"
brown;"ntokowa ntokowa"
browse folders;""
browse the file system;""
browse;"brawse"
browser;"brawsa"
brush;"brɔɔs"
buddies;""
buddy pounces;""
buddy;"badi"
buffer size;"bafa kɛseyɛ"
buffer;"baffa"
bug buddy;""
bug report;"baage ho repɔt"
bug;"bag"
build id;""
build;"si"
built-in;"wasi wom"
bullet / bullet point;"bulɛt"
bullet;""
bulleted list;"bullɛt liste"
bulleted;"Wɔabulɛɛte"
bulletin board;""
bulletin;""
bullets and numbering;""
burn;"bɛɛn"
burning;"nhyew"
burst mode;""
bus;""
business card;""
busy;"bisi"
button;"baten"
by company;""
byte;"baet"
c;""
cable television;""
cable;""
cache;"asiei"
cached;"Dea yɛde esie"
calculate;"bu akonta"
calculated;"yɛabu ho nkonta"
calculating;"wɔrebu akontaa"
calculation;"nkontabuo"
calculator;"kakuleta"
calendar;"kalɛnda"
calender;""
call back;"san frɛ"
call out;"frɛfrɛ-dɔm"
call;"frɛ"
callback;""
calling;"refrɛ"
callout;""
camcorder;"kamkɔɔda"
camera;"Mfoni afidie"
can't open directory;""
can't restore;""
can't undo;""
cancel login;""
cancel;"twa-mu"
canceled;""
cancelled;"etwa mu"
cancelling;"retwa mu"
canvas;"kanvase"
capability;"tumi"
capable;"Betumi ayɛ"
capacity;"ɛbae"
capital letter;""
capital;"Akɛseɛ mu"
capitalization;"Akɛseɛ mu(NTWERƐE)"
capitalize;"Yɛ akɛse(ntwerɛeɛ)"
capplet;""
caps lock;"kaps lɔk"
caption;"Ti nsɛm"
capture;""
captured;"kyereeɛ"
card;"kaade"
caret mode;""
carrier;"Karea"
cascade;"Kaskade"
case (font);""
case sensitive;"kase ketewa anaa kɛse"
case/character (oop);""
case;"kase"
cast shadow;""
catalog / catalogue;"Katalɔgo"
catalog;""
categories;""
category;"nhyehyɛmu"
caution;"ahwɛyie"
cc (carbon copy);""
cc / carbon copy;"kaabɔn sɛso"
cd / compact disk;"CD/diske"
cd player;""
cd-r disc;""
cd-r;""
cd-rom disc;""
cd-rom;"CD-rɔm"
cd-rw disc;""
cd-rw;""
cd/dvd creator;""
cd;""
cde panel;""
cedilla;""
cell contents;""
cell pointer;""
cell reference;""
cell;"sɛɛl"
cells;""
cellular;""
center (centre);""
center;"kɔ mfinimfin"
centered;"wɔ mfinimfin"
centimeter (centimetre);""
centimeter / centimetre;"Sɛntimita"
central european;""
central processing unit (cpu);""
centralized network;""
centralized processing;""
certificate;"abodin krataa"
certify;"gye tum"
chairperson;""
change case (ms. office);""
change case;""
change desktop background;""
change language;""
change password;""
change profile;""
change session;""
change;"sesa mu"
changes;""
changing;"resesa mu"
channel (hardware);"Kyanɛl"
channel (television);"Kyanɛl"
channel (tv);""
channel;""
chapter;"Krataa fa"
char cell;""
character encoding;"akyerɛwde ndanee"
character map;""
character palette;""
character set;"akyerɛwde kuw"
character spacing;"akyerɛwde mpaapaamu"
character style;"akyerɛwde ndaadi"
character;"akyerɛwde"
charcoal sketch;""
charset;""
chart area;""
chart;"kyaate"
chat group;"nkɔmɔdikuw"
chat room;"nkɔmɔdibea"
chat;"nkɔmɔbɔ"
check bit;""
check box;""
check for junk;""
check for updates;""
check for;"hwehwɛ"
check now;"hwɛ seiseiara"
check spelling;"hwɛ spɛlen"
check;"hwehwɛ"
checkbox;"kyɛk-adaka"
checked;"ahwɛ"
checkerboard;""
checking for new mail;""
checking;"rehwɛ"
checkmark / check mark;"kyɛk-ahyɛnsew"
checksum;""
cheese;""
child process;""
child;"abofra"
chime;"Kyaem"
chinese;""
chip;"kyip"
chipset;""
choice;"Ɔpɛ"
choose;"paw"
choosing;"repaw"
chosen;"wapaw"
chroma;""
chrome;""
cipher;"Saefa"
circle;"kanko"
circular reference;""
circular;"yɛ kurukuruwa"
city;"kurow"
class;"gyinabea"
classic;"Dadaa/tete"
classification;"Dinto"
classify;""
clean up by name;""
clean up by names;""
clean;""
clear highlight;""
clear history;""
clear private data;""
clear;"pepa"
cleared;"apepa"
click (noun);""
click (verb);""
click and drag;"Tim na pia"
click in;"klike mu"
click on, click;""
click outside;"klik kwan nkyɛn"
click to open;"klik ma embue"
click-and-hold;""
click;"klike"
client side;""
client;"cliente"
climate;""
clip art;"klip ate"
clip board;""
clipboard;"klip bɔɔd"
clock;"klɔk"
clockwise;"klɔkwaes"
clone;"hwɛsoyɛ"
close all folders;""
close all;""
close parent folders;""
close tab;""
close the current file;""
close the current window;""
close window;""
close;"to mu"
closed;"wato mu"
closing;"wɔreto mu"
code (program);""
code (symbol);""
code segment;""
code;"kood"
codec;"kodɛk"
coding;"kood-nkyerɛw"
coefficient;""
collaboration;""
collapse all threads;""
collapse;"sɛe"
collate;"hyehyɛ"
collect;"Boaboa"
collection;"Nkabom"
collision;""
colon;"kolɔn"
color depth;""
color palette;"Kɔla pɛlɛt"
color picker;"Ahosu mmuyide"
color resolution;"enimanoɔden hosu"
color scheme;"Kɔla agyinatuo"
color selection;"kɔla yie"
color selector button;""
color tolerance;""
color/grayscale;""
color;"ahosu"
colored;"Ɛwɔ ahosu"
column & row headers;""
column break;"kɔlɔm nkyemu"
column header;""
column heading;"kɔlɔm ti asɛm"
column span;"kɔlɔm ahyeɛ"
column;"kɔlɔm"
columnar;""
com port;""
combination;""
combine;"Ka bom"
combo box (combination box);""
combo box;""
comma;"kɔma"
command button;""
command line options;""
command line;"Nhyɛ mpɔtam"
command;"Nhyɛ"
comment;"nkyerɛmu"
comments;""
common name;""
common properties;""
common;"ɛho nyɛ na"
commonly used;"Tae de di dwuma"
communicate;"Di nkitaho"
communicating;"Ɛredi nkitaho"
communication;"Nkitahodi"
compact view;""
compact;"mia so"
company;"adwumakuw"
compare documents;""
compare;"fa toto ho"
compatibility;"biakoyɛ"
compatible;"fa"
compilation;""
compile;"Ka bom"
compiled;"akɔmpael"
compiler;""
complementary close;""
complete;"wie"
completed tasks;""
completed;"ewie"
complex text layout;""
component;"nkorabata"
compose new message;""
compose;"Hyehyɛ"
composed;"Hyehyɛe"
composer;""
composition;""
compound;"Kyenkyenee"
compress;"Miaso"
compressed;"Miaaso"
compression;"Miaso"
compute;"bɔ"
computer;"kɔmputa"
computing;""
concatenate;""
concatenation;""
concave;""
concordance;""
concordant file;""
concurrent;""
condense;"Te so"
condensed spacing;""
condensed;"tee so"
condition;"Tebea"
conditional formatting;""
conduit;""
conference call;"nhyiam frɛ"
conference;"nhyiamu"
confidential;"wɔ kɔmfedɛns mu"
confidentiality;"Sumuasɛm"
configurable;"Tumi yɛ"
configuration editor;""
configuration file;"Nhyehyɛe faele"
configuration files;""
configuration;"Nhyehyɛe"
configure the application;""
configure;"Hyehyɛ"
configured;"Hyehyɛe"
configuring;"Kɔso hyehyɛ"
confirm;"foa so"
confirmation;"mfoaso"
confirmed;"afoa so"
conflict;"Ntɔkwa"
connect to server;""
connect;"kɔnɛkt"
connected;"Asiani"
connecting;"Asiani"
connection failure;"enntwa annto mu"
connection information;""
connection pools;""
connection refused;"ammpene kɔnɛkhyɛn"
connection timed out;"Ntwatom mmere so etwa"
connection;"kɔnɛkhyɛn"
connector;""
consecutive numbering;""
consent;""
console;"kɔnsool"
consolidate;""
constant;""
constrain proportion;""
constraint;""
consult;"Bisa"
contact (noun);""
contact (verb);""
contact information;"kɔntakt ne ho infɔmehyen"
contact;"Frɛ"
contain;"Fa ka ho"
contained in;"hyɛ mu"
container;""
content type;"Emu nsɛm"
content;"Emu nsɛm"
contents;""
context menu;"kɔntɛkst mɛnu"
context;""
continue search backward;""
continue search forward;""
continue;"toa so"
continued;"watoa so"
continuous;"ɛtoa so"
continuously;"ɛtoa so saa"
contour;"Ɛhyeɛ"
contract;"Nhyehyɛe"
contrast;"Nsonsonyɛ"
contribution;"ntoboa"
contributor;"boafo"
control center;""
control key /  ctrl;"kɔntrol  aba"
control panel;"kɔntrol panɛl"
control;"diso"
controller;""
convene;""
convention;""
converge;""
conversation;"nkɔmmɔ"
conversion;"dane"
convert to task;""
convert;"Dane"
converted;"Danee"
converter;"kɔnvɛɛta"
converting;"redane"
cookie;"kuki"
cookies;""
cool (smiley);""
cooperative;""
coordinate;""
copies;""
copy (noun);""
copy (verb);""
copy all contact to;""
copy cds and dvds;""
copy contact to;""
copy folder to...;""
copy left;""
copy right;""
copy the selection;""
copy to folder;""
copy;"sɛso"
copying file;""
copying files;""
copyright year;""
copyright;"Nhwɛsoɔ  tumi"
corba;""
core file;""
corner radius;""
corner to frame;""
corner;"nkwankyɛn"
correct;"yɛ-yie"
correction;"nsakrae"
correlation;""
correspondence;"nkɔmmɔ"
correspondent;""
corrupt;"Adi dɛm"
corrupted file;""
corrupted;"ɛho atɔ kyima"
cos;""
cost;"Boɔ"
couldn't save;""
count;"kan"
countable;""
counter variable;""
counter;"kan-efiri"
counterclockwise;"bɔkɔ akyire"
counterfeit;"fek"
country code;"Ɔman ahyɛnso"
country;"ɔman"
covariance;""
cover;""
cpu / central processing unit;"CPU"
cpu load;""
cpu;""
crash;"Gyae yɛ"
create a new contact;""
create a new launcher;""
create a new memo;""
create a new task;""
create document;""
create folder;""
create launcher;""
create rule;""
create search folder from search;""
create;"bɔ"
created;"abɔ"
creating image;""
creation;""
creator;"ɔboadeɛ"
credential;""
credentials;"Nokwasɛm bi"
credit card;"krɛdit kaade"
credit;"Abasobɔdeɛ"
credits;""
criteria range;""
criteria;"Kwan bi so"
critical error;""
critical;"ehia"
crop tool;""
crop;"twa twene"
cross-platform;""
cross-post;""
cross-posting;"krɔss posten"
cross-reference;"krɔss rɛferɛns"
crypt;""
cryptography;"kryptografi"
cryptology;""
css / cascading style sheets;"CSS"
ctrl;""
cumulative;""
curly bracket;"Kɛɛli brakɛt"
currency;"sika"
current cell;"Tokuro/Kwan"
current color;""
current document;""
current folder;""
current line;""
current locale;""
current page;"krataafa seiseiara"
current profile;""
current selection;""
current view;""
current window;"Seiseiara mpoma"
current;"Ɛnɛdeɛ"
cursor position;""
cursor;"kɛɛsa"
curve;"Akoa"
curved;"Akyea"
custom animation;""
custom format;""
custom location;""
custom size;""
custom slide show;""
custom window;""
custom;"Ankorankorɛ"
customer;"ɔtɔfoɔ"
customization;"Ankorankorɛ adeɛ"
customize;"kɔstɔmaez"
customized;"akɔstɔmaez"
cut and paste;"Twa kɔ tare"
cut the selection;""
cut;"Twa"
cyberspace;"saeba kwan"
cycle;""
cyrillic/russian;""
cyrillic;""
czech;""
daemon;"daemon"
daily;"dabiara"
damage;""
damaged;"Asɛe"
dangerous;"Ɛyɛ hu"
dark;"esum"
darken;"yɛsum"
dash line;""
dash;"dahye"
dashed;"daashe"
dasher;""
data capture;""
data entry;"deta mbɔe"
data source;"deta firii"
data type;"data sɛso"
data;"data"
database management;""
database to use;""
database;"data baasi"
datapilot;""
date & time;""
date and time;""
date format;""
date modified;""
date stamp;""
date/time;""
date;"afeda"
day view;""
day;"da"
deactivate;"Nyɛadwuma"
deal a card;""
deal a new card;""
debug window;""
debug;"Siesie"
debugger;""
debugging output;""
december;"Ɔpɛnimba"
decimal place;"dɛsemal"
decimal precision;""
decimal separator;""
decimal;""
decision;"agyinatuo"
declare (variable);""
decline;"Mpene"
decode;"kyerɛaseɛ"
decoder;"dikoda"
decompress;"sane mu"
decorate;""
decrease;"tew so"
decrypt;"yɛsum"
decryption;"asekyerɛ"
dedicated;"fakyɛ"
default formatting;""
default height;""
default printer;""
default setting;"Nhyehyɛe dada"
default system session;""
default value;"Nhyehyɛe dada"
default width;""
default;"dadaa"
defect;""
defective;""
define range;""
define views;""
define;"kyerɛ ase"
defined;"asekyerɛ"
definition;"Asekyerɛ"
defragmentation;""
degree;""
deinstall;""
del / delete key;"Mia yi fri so"
delay;"Twentwɛn ase"
delayed;""
delete cells;""
delete contents;""
delete files;""
delete manual break;""
delete message;""
delete slide;""
delete this panel;""
delete;"Pepa"
deleted;"To kyeneɛ"
deleting files;""
deleting;"reyi akyene"
deletion;"Tokyene"
delimit;""
delimiter;"delimita"
deliver;"Fakɔma"
delivered;"Dekɔmaa"
demilitarized zone (dns);""
demo (demonstration);""
demo;"dɛmo"
demote;""
denied;"Sikwan"
denominator;""
denote;""
deny;"twesan"
department;""
dependence;""
dependency;""
depth;""
derived;"Nya firii"
desaturate;"Horono"
descending (order);"bra-famu"
descending sort;""
descending;""
describe;"Ka ho asɛm"
description contains;""
description;"nkyerɛmu"
descriptor;""
deselect;"desɛlɛt"
design;"Siesie"
designation;""
designer;""
desktop background;""
desktop computer;"dɛsktɔp kɔmputa"
desktop effects;""
desktop environment;""
desktop icon;""
desktop;"dɛsktɔp"
destination folder;""
destination;"Atenayɛ"
destroy;""
detach tab;""
detach;"te fri ho"
detail;"nhunumu"
details about;"Ho nsɛm"
detect and repair;""
detect;"hunu mu"
detected;"hunuii"
detection;""
detective;""
devanagari;""
develop;""
developer;""
development cycle;""
development;""
device manager;"divaes hwɛsofo"
device;"divaes"
diacritic / diacritical mark;"daekritik"
diacritic, diacritical mark;""
diagnostics;"nsɔhwɛ bi a wɔde hunu mfomso"
diagonal line;""
diagonal;"Nkyɛn mu"
diagram;"Adwini"
dial in;""
dial out;""
dial tone;"dael toon"
dial-up access;"dael-up akwanya"
dial-up;""
dial;"frɛ / bɔ"
dialect;"Kasahorow"
dialer;""
dialog box;"Nkɔmmɔ adaka"
dialog element;""
dialog pane;""
dialog;""
dialogue / dialog;"Nkitaho"
dialout device;""
dialup;""
diameter;"daemeta"
dictation software;""
dictionaries;""
dictionary server;""
dictionary sources;""
dictionary;"nsɛmfuasekyerɛ"
difference;""
digest;"daegɛste"
digit;"digite"
digital camera;"degetal mfonin fidie"
digital signature;"degetale signakya"
digital signatures;""
digital;"degetale"
digitally;"degetale kwanso"
digits;""
dim;"Ani dum"
dimension;"daemɛnhyin"
direct access;"kwantenpɔn"
direction;"akwankyerɛ"
directories;""
directory not empty;""
directory server;""
directory;"dirɛtri"
disable;"dum"
disabled;"edum"
disabling;"rebrɛ ase"
disc;""
discard;"To kyene"
discarded;"Ato akyene"
disclaim;""
disclaimer;"disklema"
disconnect;"Twaso"
disconnected;"Twaaso"
discontinue;""
discrete;""
discussion;"Nkitahodie"
disk drive;"disk drivo"
disk space;"disk kwan"
disk usage analyzer;""
disk;"disk"
diskette;"diskɛte"
dismiss;""
dispatch;""
display line numbers;""
display;"Aniso adeɛ"
displayed;"Adiyie"
dissertation;""
dissipation;""
dissolve;""
distance;"Anamɔn"
distinct;"soronko"
distort;"Seɛ"
distortion;"Basayɛ"
distribute columns evenly;""
distribute rows evenly;""
distribute;"kyekyɛ"
distributed;"kyekyɛe"
distribution list;""
distribution;"kyekyɛ"
distributor;""
dithering;""
divide;"kyɛmu"
divided;"kyɛɛmu"
dividend;""
division by zero;""
division sign;""
division;"nkyɛmu"
divisor;""
dma;""
dns;""
do you really want to;""
do you want to;""
dock;"dɔk"
document begin;""
document statistics;""
document viewer;""
document;"dɔkomɛnte"
documentation;"dɔkomɛntahyin"
documentations;""
documents;""
does not exist;""
dom inspector;""
domain name;"domen din"
domain;"domen"
domestic;"Fie adeɛ"
done;"ewie"
dossier;""
dot matrix printer;""
dot;"dɔto"
dotted;"dɔtoe"
double click;"Klik mprɛnu"
double line;"Nsanhɔ a ɛbɔho"
double quote;"Kootu mmienu"
double size;""
double strikethrough;"Nsanhɔ tia mmienu"
double underline;"Nsanaseɛ mmienu"
double-click on;""
double-sided;"afa mmienu"
double;"mmɔho"
down arrow;"Fam Nsanhɔ"
down time;""
down;""
downgrade;""
download;"twe"
downloaded;"atwe"
downloading;"retwe"
downloads;""
downward;""
dpi  / dots per inch;"DPI"
draft;"drafte"
drafts;""
drag and drop;"twe bɛto ha"
drag;"twe bra"
draw;"di adwini"
drawer;""
drawing area;""
drawing toolbar;""
drawing;"adwini die"
drawn;"dii adwini"
drive;"adesie dan"
driver;"drɔba"
drop cap;"drɔp capo"
drop down menu;""
drop out;""
drop shadow;"Sunsum"
drop-down combination box;""
drop-down list box;""
drop-down;"twe ba fam"
drop;"gyae mu"
dropout;"drɔp outo"
dropped;"twaso"
dropping;"wore twa so"
druid;""
dual;"Akwan nu"
due;"aso"
dumb terminal;""
dummy;""
dump;""
duplex;""
duplicate slide;""
duplicate...;""
duplicate;"nokware adanee"
duration;"Mmrɛ"
dutch;""
dvd+r disc;""
dvd+r;""
dvd+rw disc;""
dvd+rw;""
dvd-r disc;""
dvd-r;""
dvd-ram disc;""
dvd-ram;""
dvd-rom disc;""
dvd-rom;""
dvd-rw disc;""
dvd-rw;""
dvd;"DVD"
dynamic;"akwan horo"
e-book (electronic book);"Computa so nwoma"
e-commerce (electronic commerce);""
e-commerce / electronic commerce;"e-kɔmɛs"
e-mail (email);""
e-mail address;"e-male addrɛse"
e-mail client;"e-male klante"
e-mail server;"e-male sɛɛva"
e-mail;"e-male"
e.g.;"mfatoho"
e.g;""
each;"koro"
earlier;"atwam"
easier;"mrɛmrɛɛmrɛ"
east;"epueɛ"
easy;"fofoofo"
echo;"ɛgyegye"
edge;"ano"
edit as new message;""
edit bookmarks;""
edit menus;""
edit saved search;""
edit search folder;""
edit;"sesa"
editable;"tumi sesa"
edited;"w'asesa"
editing mode;""
editing;"woree sesa"
edition;"Nnwoma bi ntoasoɔ"
editor font;""
editor;"Ɔsesafoɔ"
education;""
effect;"Nsunsuansoɔ"
effects;""
eject (disk);""
eject;"Yi firi mu"
ejected;""
elapse;""
elapsed;"Mmrɛ a atwam"
