3-d;"3-D"
appears in;""
append;"បន្ថែម​ខាង​ចុង"
appended;""
applet popup menu;""
applet;"អាប់ភ្លេត"
applicable;""
application launcher;""
application;"កម្មវិធី"
applications;""
applied;""
applix;""
apply filters;""
apply;"អនុវត្ដ"
appointment;""
approach;"របៀប​ដោះស្រាយ"
approval;""
approve;""
approved;""
approximate;"ប្រហែល"
approximately;""
april;""
arabic;""
arbitrary;""
arc;"ធ្នូ"
archive file;""
archive manager;""
archive;"ប័ណ្ណសារ"
area grid;""
area;"ផ្ទៃ"
argument;"អាគុយម៉ង់"
arrange items;""
arrange;"រៀបចំ"
arrangement;""
array;"អារេ"
arrow button;""
arrow down;"ព្រួញ​ចុះ​ក្រោម"
arrow key;""
arrow left;"ព្រួញ​ទៅ​ឆ្វេង"
arrow right;"ព្រួញ​ទៅ​ស្ដាំ"
arrow up;"ព្រួញ​ឡើង​លើ"
arrow;"ព្រួញ"
arrowend;"ចុង​ព្រួញ"
arrowhead;"ក្បាល​ព្រួញ"
art;""
article;"អត្ថបទ"
artificial intelligence / ai;""
artist;""
artwork;""
ascending (order);"ឡើង (លំដាប់)"
ascending order;""
ascending;""
ascii;""
asian language support;""
asian text;""
ask every time;"សួរ​គ្រប់ពេល"
ask;"សួរ"
aspect ratio;"សមាមាត្រ"
aspect;""
assembling;"ការ​ផ្គុំ"
assign (value);"ផ្ដល់​តម្លៃ"
assign task;""
assign;""
assigned;""
assignment (home work);"កិច្ចការ"
assignment (value);"ការ​ផ្ដល់​តម្លៃ"
assignment;""
assist;""
assistance;""
assistant;""
assistive technologies;""
assistive technology preferences;""
assistive;"ដែល​ជា​ជំនួយ"
associate;"ភ្ជាប់"
associated;"ដែល​ភ្ជាប់"
association;""
assume;"សន្មត"
asterisk;"សញ្ញា​ផ្កាយ"
asynchronous;"អសមកាល"
at the end;""
at;""
atm;""
attach a file;""
attach;"ភ្ជាប់​​ជាមួយ"
attached;"ដែល​ភ្ជាប់​ជាមួយ"
attachment;"ឯកសារ​ភ្ជាប់"
attempt;"ប៉ុនប៉ង"
attempted;""
attempting;""
attendees;""
attention;""
attribute;"គុណលក្ខណៈ"
audio device;""
audio disc;""
audio files;""
audio output;"កន្លែង​បញ្ចេញ​អូឌីយ៉ូ"
audio player;""
audio;"អូឌីយ៉ូ"
august;""
authenticate;"ផ្ទៀងផ្ទាត់​ភាព​​ត្រឹមត្រូវ"
authenticated;""
authentication;"ការ​ផ្ទៀងផ្ទាត់​ភាព​ត្រឹមត្រូវ"
author;""
authority;""
authorization;"សេចក្ដី​អនុញ្ញាត"
authorize;""
authorized;"ដែល​​មាន​សេចក្ដី​អនុញ្ញាត"
auto completion;"ការ​បំពេញ​ស្វ័យប្រវត្តិ"
auto configuration;"ការ​កំណត់​រចនា​សម្ព័ន្ធ​ស្វ័យប្រវត្តិ"
auto detection;"ការ​រក​ឃើញ​ស្វ័យប្រវត្តិ"
auto filter;"តម្រង​ស្វ័យប្រវត្តិ"
auto fit to;"សម​ស្វ័យប្រវត្តិ​ទៅ​នឹង"
auto-load;"ផ្ទុក​ស្វ័យប្រវត្តិ"
auto;"ស្វ័យប្រវត្តិ"
autoabstract;"សេចក្ដី​សង្ខេប​ស្វ័យប្រវត្តិ"
autoanswer;"ការ​ឆ្លើយ​​ស្វ័យប្រវត្តិ"
autocheck spelling;""
autocomplete;""
autocompletion;""
autocorrect;"ការ​កែ​ស្វ័យប្រវត្តិ"
autodetect;""
autodetection;""
autofill;""
autofilter;""
autofit;""
autoformat;"ការ​ធ្វើ​​ទ្រង់ទ្រាយ​ស្វ័យប្រវត្តិ"
autoincrement;"កើន​ស្វ័យប្រវត្តិ"
autoload;""
automail;"សំបុត្រ​ស្វ័យប្រវត្តិ"
automated office;"ការិយាល័យ​ទំនើប"
automatic update;""
automatic;"ស្វ័យប្រវត្តិ"
automatically;""
automation;"ស្វ័យ​ប្រតិកម្ម"
autopilot;"មើល Wizard"
autorun;"រត់​ស្វ័យប្រវត្តិ"
autosave;"រក្សាទុក​ស្វ័យប្រវត្តិ"
autoscroll;"រមូរ​ស្វ័យប្រវត្តិ"
autotext;"អត្ថបទ​ស្វ័យប្រវត្តិ"
availability;"ភាព​មាន"
available palettes;""
available;"ដែល​អាច​រក​បាន"
average;"មធ្យម"
avoid;""
aware;""
axis;"អ័ក្ស"
back button;""
back door;"ទ្វារ​ក្រោយ"
back end;"កម្មវិធី​ខាងក្រោយ"
back-end;""
back;"ថយ​ក្រាយ"
backbone;"ឆ្អឹង​ខ្នង"
background application;"កម្មវិធី​ខាង​ក្រោយ"
background color name;""
background color;""
background image;""
background set;""
background task;"ភារកិច្ច​ខាង​ក្រោយ"
background;"ផ្ទៃ​ខាង​ក្រោយ"
backgrounds and emblems;""
backlog;"កិច្ចការ​​នៅ​​សល់"
backslash;""
backspace;""
backup copy;""
backup;"ព័ត៌មាន​បម្រុង"
backward;"ត្រឡប់​ទៅវិញ"
bad area;"តំបន់​ខូច"
bad disk;"ថាស​ខូច"
bad sector;"ផ្នែក​ខូច"
bad;"អាក្រក់"
balance;"តុល្យភាព"
ban;""
bandwidth (digital device);"កម្រិត​បញ្ជូន"
bandwidth (radio);"កម្រិត​រលក"
bandwidth;""
banned;""
banner;"បដា"
bar chart;"គំនូស​​តាង​​បង្គោល"
bar code;"កូដ​ផលិតផល"
bar;"របារ"
barcode;""
base 10;"គោល ១០"
base 16;"គោល ១៦"
base 2;"គោល ២"
base 8;"គោល ៨"
base line;"បន្ទាត់​គោល"
base;"គោល"
basic;""
batch file;"ឯកសារ​បាច់"
batch;""
battery charge monitor;""
battery;""
baud;""
bcc (blind carbon copy);"លាក់"
bcc / blind carbon copy;""
bcc;""
beamer;"ឧបករណ៍​បញ្ចាំង"
beep;""
begin of word;"ដើម​ពាក្យ"
begin;"ចាប់ផ្ដើម"
beginning;""
begins with;""
behavior;"ឥរិយាបថ"
behind;"ខាង​ក្រោយ"
belonging;""
below;"ខាង​ក្រោម"
beneath;""
best fit;""
beta;""
bibliography database;""
bibliography entry;""
bibliography;"គន្ថនិទ្ទេស"
bigger;""
binary number;"ចំនួន​​គោល​ពីរ"
binary system;"ប្រព័ន្ធ​គោល​ពីរ"
binary;""
bind;"ចង"
binding;""
binomial distribution;""
birthday;""
bit;"ប៊ីត"
bitmap;"រូបភាព"
black;""
blank cd-r disc;""
blank cd-rw disc;""
blank document;"ឯកសារ​ទទេ"
blank dvd+r disc;""
blank dvd+rw disc;""
blank dvd-ram disc;""
blank dvd-rw disc;""
blank page;"ទំព័រ​ទទេ"
blank;"ទទេ"
blanking;""
blend;"ល្បាយ"
blink;"ភ្លឹបភ្លែតៗ"
blinking cursor;""
blinking;""
block (unit);""
block (verb);""
block buffer;""
block;"ប្លុក"
blocked;""
blocking;""
blockquote;"សម្រង់​បណ្ដុំ"
blog;"មើល Weblog"
blue;""
bluetooth;"ប្ល៊ូធូស"
blur image;""
blur;"ព្រិល"
board;"ក្ដារ"
body;"តួ"
bold;"ដិត"
book excerpt;"សេចក្ដី​ដកស្រង់​សៀវភៅ"
book mark;""
bookmark all tabs;""
bookmark this page;""
bookmark;"ចំណាំ"
bookmarked;""
bookmarks;""
boolean;"ប៊ូលីន"
boot;"ចាប់ផ្ដើម​ឡើង"
border and shading;"ស៊ុម និង ស្រមោល"
border color;""
border;"ស៊ុម"
bot;""
bottom pane;""
bottom to top;""
bottom;"បាត"
bounced;""
bound;"មើល Boundary"
boundaries;""
boundary;"ព្រំដែន"
box;"ប្រអប់"
brace;"រ៉ាត់ ({ })"
bracket;"តង្កៀប ([ ])"
braille;""
branch;""
brand;"ម៉ាក"
break (program);""
break point;""
break;"សញ្ញា​បញ្ឈប់"
breakpoint;"ចំណុច​ឈប់"
bricks;""
bridge (noun);""
bridge (verb);""
brief;"សង្ខេប"
bright;""
brightness;"ពន្លឺ"
bring forward;"នាំ​មក​មុខ"
bring to front;"នាំ​មក​មុខ​គេ"
bring;""
broadband network;"បណ្ដាញ​រលក​អាកាស​ធំ"
broadband;"រលក​អាកាស​ធំ"
broadcast;"ផ្សាយ"
brochure;"ប័ណ្ណ​ផ្សាយ​ពាណិជ្ជកម្ម"
broken;"ខូច"
brown;""
browse folders;""
browse the file system;""
browse;"រក​មើល"
browser;"កម្មវិធី​រុករក"
brush;"ច្រាស"
buddies;""
buddy pounces;""
buddy;""
buffer size;""
buffer;"សតិ​បណ្ដោះ​អាសន្ន"
bug buddy;""
bug report;""
bug;"កំហុស"
build id;"លេខ​ស្ថាបនា"
build;"ស្ថាបនា"
built-in;"ជាប់"
bullet / bullet point;""
bullet;"ចំណុច"
bulleted list;""
bulleted;""
bulletin board;""
bulletin;"ព្រឹត្តិបត្រ"
bullets and numbering;"ចំណុច និង លេខរៀង"
burn;"ដុត"
burning;""
burst mode;""
bus;"ខ្សែ​បញ្ជូន"
business card;"នាម​ប័ណ្ណ"
busy;""
button;"ប៊ូតុង"
by company;""
byte;"បៃ"
c;""
cable television;"ទូរទស្សន៍​ខ្សែ​កាប"
cable;""
cache;"ឃ្លាំង​សម្ងាត់"
cached;""
calculate;""
calculated;""
calculating;""
calculation;"គណនា"
calculator;"ម៉ាស៊ីន​គិត​លេខ"
calendar;""
calender;""
call back;""
call out;""
call;"ហៅ"
callback;"ហៅ​ទៅ​វិញ"
calling;""
callout;"ប៉ឺតប៉ោង"
camcorder;""
camera;""
can't open directory;""
can't restore;""
can't undo;""
cancel login;""
cancel;"បោះបង់"
canceled;""
cancelled;""
cancelling;""
canvas;""
capability;"សមត្ថភាព"
capable;""
capacity;""
capital letter;"អក្សរពុម្ព"
capital;""
capitalization;""
capitalize;"សរសេរ​ជា​អក្សរពុម្ព"
capplet;""
caps lock;""
caption;"ចំណងជើង"
capture;""
captured;""
card;"កាត"
caret mode;""
carrier;"អ្នក​​ដឹក​ជញ្ជូន"
cascade;"ល្បាក់"
case (font);""
case sensitive;"ប្រកាន់​តួ​អក្សរ​តូច​ធំ"
case/character (oop);"ប្ដូរ​លក្ខណៈ​អក្សរ"
case;"ធុង"
cast shadow;"ចោល​ស្រមោល"
catalog / catalogue;""
catalog;"កាតាឡុក"
categories;""
category;"ប្រភេទ"
caution;""
cc (carbon copy);"ចម្លង"
cc / carbon copy;""
cd / compact disk;""
cd player;""
cd-r disc;""
cd-r;""
cd-rom disc;""
cd-rom;""
cd-rw disc;""
cd-rw;""
cd/dvd creator;""
cd;""
cde panel;""
cedilla;""
cell contents;""
cell pointer;"ទ្រនិច​ក្រឡា"
cell reference;"សេចក្ដី​យោង​ក្រឡា"
cell;"ក្រឡា"
cells;""
cellular;""
center (centre);"កណ្ដាល"
center;""
centered;""
centimeter (centimetre);"សង់ទីម៉ែត្រ"
centimeter / centimetre;""
central european;""
central processing unit (cpu);"ខួរ​ក្បាល"
centralized network;"បណ្ដាញ​មជ្ឈការ"
centralized processing;"ដំណើរការ​មជ្ឈការ"
certificate;"វិញ្ញាបនបត្រ"
certify;"បញ្ជាក់"
chairperson;"ប្រធាន"
change case (ms. office);"ប្ដូរ​លក្ខណៈ​អក្សរ"
change case;""
change desktop background;""
change language;""
change password;""
change profile;""
change session;""
change;""
changes;""
changing;""
channel (hardware);""
channel (television);""
channel (tv);"ប៉ុស្តិ៍"
channel;""
chapter;""
char cell;""
character encoding;""
character map;""
character palette;""
character set;"សំណុំ​តួអក្សរ"
character spacing;""
character style;""
character;"តួអក្សរ"
charcoal sketch;"គំនូស​វាស​ធ្យូង"
charset;"មើល Character Set"
chart area;"ផ្ទៃ​គំនូសតាង"
chart;"គំនូសតាង"
chat group;""
chat room;"បន្ទប់​ជជែក​កំសាន្ត"
chat;"ជជែក​កំសាន្ត"
check bit;""
check box;""
check for junk;""
check for updates;""
check for;""
check now;""
check spelling;""
check;"ពិនិត្យ​មើល"
checkbox;"ប្រអប់​ធីក"
checked;""
checkerboard;"ក្ដារអុក"
checking for new mail;""
checking;""
checkmark / check mark;""
checksum;"ឆេកសាំ"
cheese;""
child process;""
child;""
chime;""
chinese;""
chip;"បន្ទះ​សៀគ្វី​តូច"
chipset;"សំណុំ​បន្ទះ​សៀគ្វី​តូច"
choice;"ជម្រើស"
choose;"ជ្រើស"
choosing;""
chosen;""
chroma;"ក្រូម៉ា"
chrome;"ក្រូម"
cipher;"សរសេរ​សម្ងាត់"
circle;"ក្រឡឹង"
circular reference;"យោង​ទៅ​ខ្លួន​ឯង"
circular;""
city;""
class;"ថ្នាក់"
classic;""
classification;"ចំណាត់ថ្នាក់"
classify;""
clean up by name;""
clean up by names;""
clean;""
clear highlight;""
clear history;""
clear private data;""
clear;"ជម្រះ"
cleared;""
click (noun);""
click (verb);""
click and drag;""
click in;""
click on, click;""
click outside;""
click to open;""
click-and-hold;""
click;"ចុច"
client side;"ខាង​ម៉ាស៊ីន​ភ្ញៀវ"
client;"ម៉ាស៊ីន​ភ្ញៀវ"
climate;"បរិយាកាស"
clip art;"បន្ទប់​រូបភាព"
clip board;""
clipboard;"ក្ដារ​តម្បៀត​ខ្ទាស់"
clock;""
clockwise;"ទ្រនិច​នាឡិកា"
clone;"ក្លូន"
close all folders;""
close all;""
close parent folders;""
close tab;""
close the current file;""
close the current window;""
close window;""
close;"បិទ"
closed;""
closing;""
code (program);""
code (symbol);""
code segment;""
code;"កូដ"
codec;""
coding;""
coefficient;""
collaboration;""
collapse all threads;""
collapse;"វេញ"
collate;"រៀប​តាម​លំដាប់"
collect;"ប្រមូល"
collection;"ការ​ប្រមូល"
collision;""
colon;""
color depth;"ជម្រៅ​ពណ៌"
color palette;"ក្ដារ​លាយ​ពណ៌"
color picker;""
color resolution;""
color scheme;"ពណ៌​ចម្រុះ"
color selection;""
color selector button;""
color tolerance;"ភាព​ស្រដៀង​ពណ៌"
color/grayscale;""
color;"ពណ៌"
colored;""
column & row headers;""
column break;"ការ​បំបែក​ជួរ​ឈរ"
column header;""
column heading;"ក្បាល​ជួរ​ឈរ"
column span;""
column;"ជួរ​ឈរ"
columnar;""
com port;""
combination;"បន្សំ"
combine;"ផ្សំ"
combo box (combination box);"ប្រអប់​បន្សំ"
combo box;""
comma;""
command button;""
command line options;""
command line;"បន្ទាត់​ពាក្យ​បញ្ជា"
command;"បញ្ជា"
comment;""
comments;"សេចក្ដី​អធិប្បាយ"
common name;""
common properties;""
common;"ទូទៅ"
commonly used;""
communicate;""
communicating;""
communication;"ទំនាក់​ទំនង"
compact view;""
compact;"បង្រួម"
company;""
compare documents;""
compare;"ប្រៀបធៀប"
compatibility;"ភាព​ឆប​គ្នា"
compatible;"ដែល​ឆប​គ្នា"
compilation;""
compile;"ចងក្រង"
compiled;""
compiler;""
complementary close;"បញ្ចប់​ដោយ​គួរសម"
complete;""
completed tasks;""
completed;"បញ្ចប់​ទាំង​ស្រុង"
complex text layout;"ប្លង់​អត្ថបទ​ស្មុគ្រស្មាញ"
component;"សមាសភាគ"
compose new message;""
compose;"តែង"
composed;""
composer;"កម្មវិធី​តែង"
composition;"សមាសភាព"
compound;""
compress;"បង្ហាប់"
compressed;""
compression;"ការ​បង្ហាប់"
compute;"គណនា"
computer;"កុំព្យូទ័រ"
computing;""
concatenate;"ដាក់​បន្ត​គ្នា"
concatenation;"ការ​ដាក់​បន្ត​គ្នា"
concave;"ផត"
concordance;"មាលីសព្ទ"
concordant file;"ឯកសារ​មាលីសព្ទ"
concurrent;""
condense;"បង្រួញ"
condensed spacing;"គម្លាត​ញឹក"
condensed;"ញឹក"
condition;"លក្ខខណ្ឌ"
conditional formatting;""
conduit;""
conference call;""
conference;""
confidential;"សម្ងាត់"
confidentiality;"ភាព​សម្ងាត់"
configurable;""
configuration editor;""
configuration file;""
configuration files;""
configuration;"ការ​កំណត់​​រចនា​សម្ព័ន្ធ"
configure the application;""
configure;"កំណត់​រចនា​សម្ព័ន្ធ"
configured;""
configuring;""
confirm;"អះអាង"
confirmation;"ការ​អះអាង"
confirmed;""
conflict;""
connect to server;""
connect;"តភ្ជាប់"
connected;""
connecting;""
connection failure;""
connection information;""
connection pools;"អាង​ការ​តភ្ជាប់"
connection refused;""
connection timed out;""
connection;"ការ​តភ្ជាប់"
connector;"បន្ទាត់​​តភ្ជាប់"
consecutive numbering;"លេខរៀង​ត​គ្នា"
consent;"ព្រម"
console;"កុងសូល"
consolidate;"បង្រួប​បង្រួម"
constant;"ថេរ"
constrain proportion;"បង្ខំ​ឲ្យ​មាន​សមាមាត្រ"
constraint;"កម្រិត"
consult;""
contact (noun);""
contact (verb);""
contact information;""
contact;"ទាក់ទង"
contain;"មាន"
contained in;""
container;"កុងតឺន័រ"
content type;""
content;"មាតិកា"
contents;""
context menu;""
context;"បរិបទ"
continue search backward;"បន្ត​ស្វែងរក​ថយ​ក្រោយ"
continue search forward;"បន្ត​ស្វែងរក​ទៅ​មុខ"
continue;"បន្ត"
continued;""
continuous;""
continuously;""
contour;"វណ្ឌវង្ក"
contract;"កិច្ចសន្យា"
contrast;"កម្រិត​ពណ៌"
contribution;""
contributor;"អ្នក​បរិច្ចាគ"
control center;"មជ្ឈមណ្ឌល​បញ្ជា"
control key /  ctrl;""
control panel;"ផ្ទាំង​បញ្ជា"
control;"ត្រួតត្រា"
controller;"ឧបករណ៍​បញ្ជា"
convene;"កោះ​ប្រជុំ"
convention;"សម្មតិកម្ម"
converge;"ជួប​គ្នា"
conversation;""
conversion;"ការ​បម្លែង"
convert to task;""
convert;"បម្លែង"
converted;""
converter;"កម្មវិធី​បម្លែង"
converting;""
cookie;""
cookies;"ខូគី"
cool (smiley);"ត្រជាក់"
cooperative;""
coordinate;""
copies;""
copy (noun);""
copy (verb);""
copy all contact to;""
copy cds and dvds;""
copy contact to;""
copy folder to...;""
copy left;""
copy right;""
copy the selection;""
copy to folder;""
copy;"ច្បាប់​ចម្លង"
copying file;""
copying files;""
copyright year;"ឆ្នាំ​រក្សា​សិទ្ធិ"
copyright;"រក្សា​សិទ្ធិ"
corba;""
core file;""
corner radius;"កាំ​ជ្រុង"
corner to frame;"ជ្រុង​ទៅ​ស៊ុម"
corner;"ជ្រុង"
correct;"កែ"
correction;""
correlation;""
correspondence;"ការ​ឆ្លើយឆ្លង"
correspondent;"អ្នក​ឆ្លើយឆ្លង"
corrupt;""
corrupted file;"ឯកសារ​ខូច"
corrupted;""
cos;""
cost;""
couldn't save;""
count;"រាប់"
countable;""
counter variable;"អថេរ​រាប់"
counter;"ច្រាស"
counterclockwise;""
counterfeit;"ក្លែង​បន្លំ"
country code;""
country;""
covariance;""
cover;""
cpu / central processing unit;""
cpu load;""
cpu;""
crash;"គាំង"
create a new contact;""
create a new launcher;""
create a new memo;""
create a new task;""
create document;""
create folder;""
create launcher;""
create rule;""
create search folder from search;""
create;"បង្កើត"
created;""
creating image;""
creation;""
creator;""
credential;"លិខិត​តែងតាំង"
credentials;""
credit card;"ប័ណ្ណ​ឥណទាន"
credit;""
credits;""
criteria range;""
criteria;"លក្ខណៈ​វិនិច្ឆ័យ"
critical error;""
critical;"សំខាន់​បំផុត"
crop tool;"ឧបករណ៍​ច្រឹប"
crop;"ច្រឹប"
cross-platform;""
cross-post;""
cross-posting;""
cross-reference;"សេចក្ដី​យោង​ឆ្លង"
crypt;""
cryptography;"កូដសាស្ត្រ"
cryptology;""
css / cascading style sheets;""
ctrl;""
cumulative;""
curly bracket;"រ៉ាត់ ({})"
currency;"រូបិយប័ណ្ណ"
current cell;"ក្រឡា​បច្ចុប្បន្ន"
current color;""
current document;""
current folder;""
current line;""
current locale;""
current page;"ទំព័រ​បច្ចុប្បន្ន"
current profile;""
current selection;""
current view;""
current window;"បង្អួច​បច្ចុប្បន្ន"
current;"បច្ចុប្បន្ន"
cursor position;""
cursor;"ទស្សន៍​ទ្រនិច"
curve;"ខ្សែ​កោង"
curved;""
custom animation;""
custom format;""
custom location;""
custom size;""
custom slide show;""
custom window;""
custom;"ផ្ទាល់​ខ្លួន"
customer;"អតិថិជន"
customization;"ការ​ប្ដូរ​តាម​បំណង"
customize;"ប្តួរ​តាម​បំណង"
customized;""
cut and paste;""
cut the selection;""
cut;"កាត់"
cyberspace;"ពិភព​ទំនាក់​ទំនង"
cycle;"ខួប"
cyrillic/russian;""
cyrillic;""
czech;""
daemon;"ដេមិន"
daily;""
damage;""
damaged;"ខូចខាត"
dangerous;"គ្រោះថ្នាក់"
dark;""
darken;""
dash line;"បន្ទាត់​ដាច់ៗ"
dash;"ដាច់ៗ"
dashed;""
dasher;""
data capture;"ការ​ចាប់​យក​ទិន្នន័យ"
data entry;""
data source;"ប្រភព​ទិន្នន័យ"
data type;"ប្រភេទ​ទិន្នន័យ"
data;"ទិន្នន័យ"
database management;"ការ​គ្រប់គ្រង​មូលដ្ឋាន​ទិន្នន័យ"
database to use;""
database;"មូលដ្ឋាន​ទិន្នន័យ"
datapilot;"អ្នក​ជំនួយការ​​ទិន្នន័យ"
date & time;""
date and time;""
date format;""
date modified;""
date stamp;"ត្រា​កាលបរិច្ឆេទ"
date/time;""
date;"កាលបរិច្ឆេទ"
day view;""
day;""
deactivate;"ធ្វើ​ឲ្យ​អសកម្ម"
deal a card;""
deal a new card;""
debug window;""
debug;"បំបាត់កំហុស"
debugger;""
debugging output;""
december;""
decimal place;""
decimal precision;"ចំនួន​ខ្ទង់​ទសភាគ"
decimal separator;"សញ្ញា​ក្បៀស"
decimal;""
decision;""
declare (variable);"ប្រកាស (អថេរ)"
decline;""
decode;"ឌិកូដ"
decoder;"ឌិកូឌ័រ"
decompress;"ពន្លា"
decorate;"តុបតែង"
decrease;"បន្ថយ"
decrypt;"ឌិគ្រីប"
decryption;""
dedicated;""
default formatting;""
default height;""
default printer;""
default setting;""
default system session;""
default value;""
default width;""
default;"លំនាំដើម"
defect;""
defective;"មិន​ពេញលេញ"
define range;""
define views;""
define;""
defined;""
definition;"និយមន័យ"
defragmentation;"រៀបចំ​ឲ្យ​មាន​សណ្ដាប់ធ្នាប់"
degree;"អង្សា"
deinstall;"លុប​កម្មវិធី"
del / delete key;""
delay;"ការ​ពន្យារ​ពេល"
delayed;"យឺត"
delete cells;""
delete contents;""
delete files;""
delete manual break;""
delete message;""
delete slide;""
delete this panel;""
delete;"លុប"
deleted;""
deleting files;""
deleting;""
deletion;""
delimit;"កំណត់​ព្រំដែន"
delimiter;"សញ្ញា​កំណត់​ព្រំដែន"
deliver;"បញ្ជូន​ទៅ​ដល់"
delivered;""
demilitarized zone (dns);"តំបន់​ស"
demo (demonstration);"ការ​បង្ហាញ​សាកមើល"
demo;""
demote;"បន្ថយ"
denied;"ត្រូវ​បាន​បដិសេធ"
denominator;"ភាគ​បែង"
denote;"តំណាង​ឲ្យ"
deny;"បដិសេធ"
department;"នាយកដ្ឋាន"
dependence;"អនិស្សរភាព"
dependency;""
depth;""
derived;""
desaturate;""
descending (order);"ចុះ (លំដាប់)"
descending sort;""
descending;""
describe;""
description contains;""
